study_hours,attendance,group_discussion,previous_test_score,final_exam_pass
1.79,79,no,49,Fail
5.37,67,yes,48,Pass
5.52,68,no,45,Fail
6.56,78,yes,36,Pass
2.53,53,no,56,Fail
2.36,54,yes,82,Pass
6.04,64,no,99,Pass
5.59,72,yes,56,Fail
5.5,80,no,81,Pass
5.69,97,yes,59,Pass
3.64,88,no,40,Fail
5.46,73,yes,76,Pass
5.59,75,no,69,Pass
3.57,60,yes,92,Pass
8.73,75,no,42,Pass
5.95,71,yes,100,Pass
2.62,80,no,89,Pass
6.31,63,yes,65,Pass
3.05,83,no,61,Fail
6.57,98,yes,54,Pass
7.32,73,no,67,Pass
3.36,81,yes,62,Pass
6.93,85,no,73,Pass
5.83,69,yes,61,Pass
6.64,78,no,86,Pass
8.79,75,yes,67,Pass
4.51,76,no,61,Pass
3.49,63,yes,80,Pass
3.22,75,no,41,Fail
3.37,82,yes,70,Pass
4.85,97,no,65,Pass
5.68,89,yes,44,Pass
5.55,100,no,39,Pass
6.65,63,yes,80,Pass
5.03,88,no,79,Pass
7.91,78,yes,68,Pass
4.47,100,no,91,Pass
10.44,63,yes,72,Pass
6.25,62,no,84,Pass
3.29,66,yes,71,Pass
2.86,43,no,61,Fail
5.96,67,yes,49,Pass
4.55,64,no,56,Fail
6.43,77,yes,61,Pass
5.95,80,no,85,Pass
4.85,100,yes,77,Pass
3.31,89,yes,70,Pass
1.97,66,no,78,Pass
4.11,62,yes,73,Pass
6.71,82,no,69,Pass
5.43,55,yes,43,Pass
2.51,100,no,82,Pass
5.35,93,yes,58,Pass
5.77,68,no,81,Pass
3.23,49,yes,83,Pass
5.31,95,no,55,Pass
5.12,73,yes,79,Pass
2.71,94,no,60,Pass
